Year,Tow#,Sample.ID,Otolith.ID,MQ.code,ID.checked,Greater.than.three.specimens,correct ID (from phylogenetic tree),Comment
2021,3,2021_13_3_189_10,Diaphus theta,D.theta_2021_T3_10,Yes,Yes,,
2021,3,2021_13_3_189_2,Diaphus theta,D.theta_2021_T3_2,Yes,Yes,,
2021,3,2021_13_3_189_3,Diaphus theta,D.theta_2021_T3_3,Yes,Yes,,
2021,3,2021_13_3_189_4,Diaphus theta,D.theta_2021_T3_4,No,NA,,"barcoding on this one failed, but you can find the pic in BOLD if you want to make sure, I'm comfortable with calling it D. theta"
2021,3,2021_13_3_189_5,Diaphus theta,D.theta_2021_T3_5,Yes,Yes,,
2021,3,2021_13_3_189_6,Diaphus theta,D.theta_2021_T3_6,Yes,Yes,,
2021,3,2021_13_3_189_7,Diaphus theta,D.theta_2021_T3_7,Yes,Yes,,
2021,3,2021_13_3_189_8,Diaphus theta,D.theta_2021_T3_8,Yes,Yes,,
2021,3,2021_13_3_189_9,Diaphus theta,D.theta_2021_T3_9,Yes,Yes,,
2021,4,2021_13_4_189_1,Diaphus theta,D.theta_2021_T4_1,Yes,Yes,,
2021,4,2021_13_4_189_10,Diaphus theta,D.theta_2021_T4_10,Yes,Yes,,
2021,4,2021_13_4_189_2,Diaphus theta,D.theta_2021_T4_2,Yes,Yes,,
2021,4,2021_13_4_189_3,Diaphus theta,D.theta_2021_T4_3,Yes,Yes,,
2021,4,2021_13_4_189_4,Diaphus theta,D.theta_2021_T4_4,Yes,Yes,,
2021,4,2021_13_4_189_5,Diaphus theta,D.theta_2021_T4_5,Yes,Yes,,
2021,4,2021_13_4_189_6,Diaphus theta,D.theta_2021_T4_6,Yes,Yes,,
2021,4,2021_13_4_189_7,Diaphus theta,D.theta_2021_T4_7,Yes,Yes,,
2021,4,2021_13_4_189_8,Diaphus theta,D.theta_2021_T4_8,Yes,Yes,,
2021,4,2021_13_4_189_9,Diaphus theta,D.theta_2021_T4_9,Yes,Yes,,
2022,17,2022_17_201_1,Lampadena sp.,L.sp_2022_T17_1,Yes,No,Lampadena urophaos,
2022,18,2022_18_201_1,Lampadena sp.,L.sp_2022_T18_1,Yes,No,Lampadena urophaos,
2022,20,2022_20_201_1,Lampadena sp.,L.sp_2022_T20_1,Yes,No,Lampadena urophaos,
2021,12,2021_13_12_193_1,Lampanyctus regalis,L.regalis_2021_T12_1,Yes,Yes,,
2021,12,2021_13_12_193_2,Lampanyctus regalis,L.regalis_2021_T12_2,Yes,Yes,,
2021,12,2021_13_12_193_3,Lampanyctus regalis,L.regalis_2021_T12_3,Yes,Yes,,
2021,12,2021_13_12_193_4,Lampanyctus regalis,L.regalis_2021_T12_4,Yes,Yes,,
2021,12,2021_13_12_193_5,Lampanyctus regalis,L.regalis_2021_T12_5,Yes,Yes,,
2021,12,2021_13_12_193_6,Lampanyctus regalis,L.regalis_2021_T12_6,Yes,Yes,,
2021,12,2021_13_12_193_7,Lampanyctus regalis,L.regalis_2021_T12_7,Yes,Yes,,
2021,MQ,2021_MQ_193_1,Lampanyctus regalis,L.regalis_2021_MQ_1,No,NA,,barcoding failed
2021,MQ,2021_MQ_193_2,Lampanyctus regalis,L.regalis_2021_MQ_2,No,NA,Stenobrachius leucopsarus,groups with S. leucopsarus
2022,20,2022_20_197_1,Lampanyctus regalis,L.regalis_2022_T20_1,No,NA,Lampanyctus ritteri,groups with L. ritteri
2022,20,2022_20_197_2,Lampanyctus regalis,L.regalis_2022_T20_2,No,NA,Lampanyctus ritteri,groups with L. ritteri
2022,20,2022_20_197_4,Lampanyctus regalis,L.regalis_2022_T20_3,No,NA,Lampanyctus ritteri,groups with L. ritteri
2022,20,2022_20_197_5,Lampanyctus regalis,L.regalis_2022_T20_4,No,NA,Lampanyctus ritteri,groups with L. ritteri
2022,20,2022_20_197_6,Lampanyctus regalis,L.regalis_2022_T20_5,No,NA,Lampanyctus ritteri,groups with L. ritteri
2022,20,2022_20_197_7,Lampanyctus regalis,L.regalis_2022_T20_6,No,NA,Lampanyctus ritteri,groups with L. ritteri
2022,20,2022_20_197_8,Lampanyctus regalis,L.regalis_2022_T20_7,No,NA,Lampanyctus ritteri,groups with L. ritteri
2022,21,2022_21_191_1,Lampanyctus regalis,L.regalis_2022_T21_1,Yes,Yes,,
2022,21,2022_21_191_2,Lampanyctus regalis,L.regalis_2022_T21_2,Yes,Yes,,
2022,21,2022_21_191_3,Lampanyctus regalis,L.regalis_2022_T21_3,Yes,Yes,,
2022,21,2022_21_191_4,Lampanyctus regalis,L.regalis_2022_T21_4,Yes,Yes,,
2022,21,2022_21_191_5,Lampanyctus regalis,L.regalis_2022_T21_5,Yes,Yes,,
2021,12,2021_13_12_185_1,Lampanyctus ritteri,L.ritteri_2021_T12_1,Yes,Yes,,
2021,12,2021_13_12_185_10,Lampanyctus ritteri,L.ritteri_2021_T12_10,Yes,Yes,,
2021,12,2021_13_12_185_2,Lampanyctus ritteri,L.ritteri_2021_T12_2,Yes,Yes,,
2021,12,2021_13_12_185_3,Lampanyctus ritteri,L.ritteri_2021_T12_3,Yes,Yes,,
2021,12,2021_13_12_185_4,Lampanyctus ritteri,L.ritteri_2021_T12_4,Yes,Yes,,
2021,12,2021_13_12_185_5,Lampanyctus ritteri,L.ritteri_2021_T12_5,Yes,Yes,,
2021,12,2021_13_12_185_6,Lampanyctus ritteri,L.ritteri_2021_T12_6,Yes,Yes,,
2021,12,2021_13_12_185_7,Lampanyctus ritteri,L.ritteri_2021_T12_7,Yes,Yes,,
2021,12,2021_13_12_185_8,Lampanyctus ritteri,L.ritteri_2021_T12_8,Yes,Yes,,
2021,12,2021_13_12_185_9,Lampanyctus ritteri,L.ritteri_2021_T12_9,No,NA,,the barcoding on this specimen failed; happy with you calling it ritteri if you are sure; the image is on BOLD
2021,13,2021_13_13_197_2,Lampanyctus ritteri,L.ritteri_2021_T13_1,Yes,Yes,,
2021,13,2021_13_13_197_3,Lampanyctus ritteri,L.ritteri_2021_T13_2,Yes,Yes,,
2021,13,2021_13_13_197_5,Lampanyctus ritteri,L.ritteri_2021_T13_3,Yes,Yes,,
2021,13,2021_13_13_197_8,Lampanyctus ritteri,L.ritteri_2021_T13_4,Yes,Yes,,
2021,13,2021_13_13_197_9,Lampanyctus ritteri,L.ritteri_2021_T13_5,Yes,Yes,,
2021,18,2021_13_18_197_1,Lampanyctus ritteri,L.ritteri_2021_T18_1,Yes,Yes,,
2021,18,2021_13_18_197_10,Lampanyctus ritteri,L.ritteri_2021_T18_3,Yes,Yes,,
2021,18,2021_13_18_197_9,Lampanyctus ritteri,L.ritteri_2021_T18_2,Yes,Yes,,
2021,2,2021_13_2_185_3,Lampanyctus ritteri,L.ritteri_2021_T2_1,Yes,Yes,,
2021,2,2021_13_2_185_6,Lampanyctus ritteri,L.ritteri_2021_T2_2,Yes,Yes,,
2021,MQ,2021_MQ_193_3B,Lampanyctus ritteri,L.ritteri_2021_MQ_1,No,NA,Stenobrachius leucopsarus,groups with S. leucopsarus
2022,21,2022_21_196_2,Lampanyctus sp.,Ignore,No,NA,,
2021,13,2021_13_13_182_10,Lestidiops ringens,L.ringens_2021_T13_9,Yes,Yes,,
2021,13,2021_13_13_182_12,Lestidiops ringens,L.ringens_2021_T13_10,Yes,Yes,,
2021,13,2021_13_13_182_2,Lestidiops ringens,L.ringens_2021_T13_1,Yes,Yes,,
2021,13,2021_13_13_182_3,Lestidiops ringens,L.ringens_2021_T13_2,Yes,Yes,,
2021,13,2021_13_13_182_4,Lestidiops ringens,L.ringens_2021_T13_3,Yes,Yes,,
2021,13,2021_13_13_182_5,Lestidiops ringens,L.ringens_2021_T13_4,Yes,Yes,,
2021,13,2021_13_13_182_6,Lestidiops ringens,L.ringens_2021_T13_5,Yes,Yes,,
2021,13,2021_13_13_182_7,Lestidiops ringens,L.ringens_2021_T13_6,Yes,Yes,,
2021,13,2021_13_13_182_8,Lestidiops ringens,L.ringens_2021_T13_7,Yes,Yes,,
2021,13,2021_13_13_182_9,Lestidiops ringens,L.ringens_2021_T13_8,Yes,Yes,,
2022,14,2022_14_234_1,Lycodapus mandibularis,L.mandibularis_2022_T14_1,Yes,,,
2022,14,2022_14_234_2,Lycodapus mandibularis,L.mandibularis_2022_T14_2,Yes,Yes,,
2022,14,2022_14_234_3,Lycodapus mandibularis,L.mandibularis_2022_T14_3,Yes,Yes,,
2022,14,2022_14_234_4,Lycodapus mandibularis,L.mandibularis_2022_T14_4,Yes,Yes,,
2022,14,2022_14_234_5,Lycodapus mandibularis,L.mandibularis_2022_T14_5,Yes,Yes,,
2022,14,2022_14_234_6,Lycodapus mandibularis,L.mandibularis_2022_T14_6,Yes,Yes,,
2022,14,2022_14_234_7,Lycodapus mandibularis,L.mandibularis_2022_T14_7,Yes,Yes,,
2022,14,2022_14_234_8,Lycodapus mandibularis,L.mandibularis_2022_T14_8,Yes,Yes,,
2022,21,2022_21_UNK_1,Melamphaes lugubris,M.lugubris_2022_T21_1,Yes,No,,
2022,21,2022_21_UNK_2,Melamphaes lugubris,M.lugubris_2022_T21_2,Yes,No,,
2022,15,2022_15_UNK_1,Nansenia candida,N.candida_2022_T15_1,Yes,Yes,,
2022,15,2022_15_UNK_2,Nansenia candida,N.candida_2022_T15_2,Yes,Yes,,
2022,17,2022_17_136_1,Nansenia candida,N.candida_2022_T17_1,Yes,Yes,,
2022,17,2022_17_136_2,Nansenia candida,N.candida_2022_T17_2,Yes,Yes,,
2022,17,2022_17_136_3,Nansenia candida,N.candida_2022_T17_3,Yes,Yes,,
2022,18,2022_18_152_1,Nansenia candida,N.candida_2022_T18_1,Yes,Yes,,
2022,18,2022_18_152_2,Nansenia candida,N.candida_2022_T18_2,Yes,Yes,,
2022,18,2022_18_152_3,Nansenia candida,N.candida_2022_T18_3,Yes,Yes,,
2022,18,2022_18_152_4,Nansenia candida,N.candida_2022_T18_4,Yes,Yes,,
2022,18,2022_18_152_5,Nansenia candida,N.candida_2022_T18_5,Yes,Yes,,
2022,18,2022_18_842_1,Nansenia candida,N.candida_2022_T18_1,Yes,Yes,,
2022,20,2022_20_136_1,Nansenia candida,N.candida_2022_T20_1,Yes,Yes,,
2022,20,2022_20_136_2,Nansenia candida,N.candida_2022_T20_2,Yes,Yes,,
2022,21,2022_21_136_1,Nansenia candida,N.candida_2022_T21_1,Yes,Yes,,
2021,18,2021_13_18_197_4,Notoscopelus,N.sp_2021_T18_1,Yes,No,,
2021,MQ,2021_MQ_196_1,Protomyctophum thompsoni,P.thompsoni_2021_MQ_1,Yes,No,,
2021,MQ,2021_MQ_196_2,Protomyctophum thompsoni,P.thompsoni_2021_MQ_2,No,NA,,the barcoding on this specimen failed; if you're confident with the ID you can call it P. thompsoni
2021,MQ,2021_MQ_196_3,Protomyctophum thompsoni,P.thompsoni_2021_MQ_3,Yes,No,,
2022,15,2022_15_152_1,Pseudobathylagus milleri,P.milleri_2022_T15_1,Yes,Yes,,
2022,15,2022_15_152_3,Pseudobathylagus milleri,P.milleri_2022_T15_2,Yes,Yes,,
2022,21,2022_21_152_2,Pseudobathylagus milleri,P.milleri_2022_T21_1,No,NA,,"the barcoding failed twice on this specimen, so there is no barcode"
2022,21,2022_21_152_4,Pseudobathylagus milleri,P.milleri_2022_T21_2,No,NA,,"the barcoding failed twice on this specimen, so there is no barcode"
2022,21,2022_21_152_7,Pseudobathylagus milleri,P.milleri_2022_T21_3,Yes,Yes,,
2022,21,2022_21_152_8,Pseudobathylagus milleri,P.milleri_2022_T21_4,Yes,Yes,,
2021,18,2021_13_18_173_1_a,Sagamichthys abei,S.abei_2021_T18_1,Yes,No,,
2021,18,2021_13_18_173_1_b,Sagamichthys abei,S.abei_2021_T18_2,Yes,No,,
2022,17,2022_17_152_1,Sagamichthys abei,S.abei_2022_T17_1,Yes,No,,
2021,12,2021_13_12_178_1,Sigmops elongatus,S.elongatus_2021_T12_1,No,No,,"this groups with other gonostomid, but as you've mentioned, we don't really know what species it is"
2021,1,2021_13_1_185_1,Stenobrachius leucopsarus,S.leucopsarus_2021_T1_1,Yes,Yes,,
2021,1,2021_13_1_185_2,Stenobrachius leucopsarus,S.leucopsarus_2021_T1_2,Yes,Yes,,
2021,1,2021_13_1_185_4,Stenobrachius leucopsarus,S.leucopsarus_2021_T1_3,Yes,Yes,,
2021,12,2021_13_12_185_11,Stenobrachius leucopsarus,S.leucopsarus_2021_T12_1,Yes,Yes,,
2021,12,2021_13_12_189_6,Stenobrachius leucopsarus,S.leucopsarus_2021_T12_2,Yes,Yes,,
2021,13,2021_13_13_197_1,Stenobrachius leucopsarus,S.leucopsarus_2021_T13_1,Yes,Yes,,
2021,13,2021_13_13_197_10,Stenobrachius leucopsarus,S.leucopsarus_2021_T13_5,Yes,Yes,,
2021,13,2021_13_13_197_4,Stenobrachius leucopsarus,S.leucopsarus_2021_T13_2,Yes,Yes,,
2021,13,2021_13_13_197_6,Stenobrachius leucopsarus,S.leucopsarus_2021_T13_3,Yes,Yes,,
2021,13,2021_13_13_197_7,Stenobrachius leucopsarus,S.leucopsarus_2021_T13_4,Yes,Yes,,
2021,18,2021_13_18_197_2,Stenobrachius leucopsarus,S.leucopsarus_2021_T18_1,Yes,Yes,,
2021,18,2021_13_18_197_3,Stenobrachius leucopsarus,S.leucopsarus_2021_T18_2,Yes,Yes,,
2021,18,2021_13_18_197_5,Stenobrachius leucopsarus,S.leucopsarus_2021_T18_3,Yes,Yes,,
2021,18,2021_13_18_197_6,Stenobrachius leucopsarus,S.leucopsarus_2021_T18_4,Yes,Yes,,
2021,18,2021_13_18_197_7,Stenobrachius leucopsarus,S.leucopsarus_2021_T18_5,No,NA,,barcoding failed on this specimen
2021,2,2021_13_2_185_1,Stenobrachius leucopsarus,S.leucopsarus_2021_T2_1,Yes,Yes,,
2021,2,2021_13_2_185_10,Stenobrachius leucopsarus,S.leucopsarus_2021_T2_8,Yes,Yes,,
2021,2,2021_13_2_185_2,Stenobrachius leucopsarus,S.leucopsarus_2021_T2_2,Yes,Yes,,
2021,2,2021_13_2_185_4,Stenobrachius leucopsarus,S.leucopsarus_2021_T2_3,Yes,Yes,,
2021,2,2021_13_2_185_5,Stenobrachius leucopsarus,S.leucopsarus_2021_T2_4,Yes,Yes,,
2021,2,2021_13_2_185_7,Stenobrachius leucopsarus,S.leucopsarus_2021_T2_5,Yes,Yes,,
2021,2,2021_13_2_185_8,Stenobrachius leucopsarus,S.leucopsarus_2021_T2_6,Yes,Yes,,
2021,2,2021_13_2_185_9,Stenobrachius leucopsarus,S.leucopsarus_2021_T2_7,Yes,Yes,,
2021,3,2021_13_3_185_1,Stenobrachius leucopsarus,S.leucopsarus_2021_T3_1,Yes,Yes,,
2021,4,2021_13_4_185_1,Stenobrachius leucopsarus,S.leucopsarus_2021_T4_1,Yes,Yes,,
2021,4,2021_13_4_185_10,Stenobrachius leucopsarus,S.leucopsarus_2021_T4_10,Yes,Yes,,
2021,4,2021_13_4_185_11,Stenobrachius leucopsarus,S.leucopsarus_2021_T4_11,Yes,Yes,,
2021,4,2021_13_4_185_12,Stenobrachius leucopsarus,S.leucopsarus_2021_T4_12,No,NA,,this specimen wasn't barcoded
2021,4,2021_13_4_185_2,Stenobrachius leucopsarus,S.leucopsarus_2021_T4_2,Yes,Yes,,
2021,4,2021_13_4_185_3,Stenobrachius leucopsarus,S.leucopsarus_2021_T4_3,Yes,Yes,,
2021,4,2021_13_4_185_4,Stenobrachius leucopsarus,S.leucopsarus_2021_T4_4,Yes,Yes,,
2021,4,2021_13_4_185_5,Stenobrachius leucopsarus,S.leucopsarus_2021_T4_5,Yes,Yes,,
2021,4,2021_13_4_185_6,Stenobrachius leucopsarus,S.leucopsarus_2021_T4_6,Yes,Yes,,
2021,4,2021_13_4_185_7,Stenobrachius leucopsarus,S.leucopsarus_2021_T4_7,Yes,Yes,,
2021,4,2021_13_4_185_8,Stenobrachius leucopsarus,S.leucopsarus_2021_T4_8,Yes,Yes,,
2021,4,2021_13_4_185_9,Stenobrachius leucopsarus,S.leucopsarus_2021_T4_9,Yes,Yes,,
2021,MQ,2021_MQ_198_1,Stenobrachius leucopsarus,S.leucopsarus_2021_MQ_1,No,NA,,the barcoding failedfor this specimen
2021,MQ,2021_MQ_198_2,Stenobrachius leucopsarus,S.leucopsarus_2021_MQ_2,Yes,Yes,,
2021,MQ,2021_MQ_198_3A,Stenobrachius leucopsarus,S.leucopsarus_2021_MQ_3,Yes,Yes,,
2022,19,2022_19_199_1,Stenobrachius leucopsarus,Ignore,No,NA,,
2022,20,2022_20_197_3,Stenobrachius leucopsarus,S.leucopsarus_2022_T20_1,Yes,Yes,,
2022,21,2022_21_199_1,Stenobrachius nannochir,Ignore,No,NA,,
2022,21,2022_21_199_2,Stenobrachius nannochir,Ignore,No,NA,,
2022,21,2022_21_199_3,Stenobrachius nannochir,Ignore,No,NA,,
2022,21,2022_21_196_3,Stenobrachius sp.,Ignore,No,NA,,
2021,1,2021_13_1_185_3,Symbolophorus californiensis,S.californiensis_2021_T1_1,Yes,Yes,,
2021,18,2021_13_18_197_8,Symbolophorus californiensis,S.californiensis_2021_T18_1,No,NA,,the barcoding failedfor this specimen
2021,MQ,2021_MQ_200_1,Symbolophorus californiensis,S.californiensis_2021_MQ_1,No,NA,,the barcoding failedfor this specimen
2021,MQ,2021_MQ_200_2,Symbolophorus californiensis,S.californiensis_2021_MQ_2,Yes,Yes,,
2021,MQ,2021_MQ_200_3,Symbolophorus californiensis,S.californiensis_2021_MQ_3,Yes,Yes,,
2021,MQ,2021_MQ_200_4,Symbolophorus californiensis,S.californiensis_2021_MQ_4,Yes,Yes,,
2022,21,2022_21_196_1,Symbolophorus californiensis,S.californiensis_2022_T21_1,Yes,Yes,,
2021,12,2021_13_12_843_1,Tactostoma macropus,T.macropus_2021_T12_1,Yes,Yes,,
2021,13,2021_13_13_167_1,Tactostoma macropus,T.macropus_2021_T13_1,Yes,Yes,,
2021,13,2021_13_13_167_10,Tactostoma macropus,T.macropus_2021_T13_10,Yes,Yes,,
2021,13,2021_13_13_167_11,Tactostoma macropus,T.macropus_2021_T13_11,Yes,Yes,,
2021,13,2021_13_13_167_12,Tactostoma macropus,T.macropus_2021_T13_12,Yes,Yes,,
2021,13,2021_13_13_167_2,Tactostoma macropus,T.macropus_2021_T13_2,Yes,Yes,,
2021,13,2021_13_13_167_3,Tactostoma macropus,T.macropus_2021_T13_3,Yes,Yes,,
2021,13,2021_13_13_167_4,Tactostoma macropus,T.macropus_2021_T13_4,Yes,Yes,,
2021,13,2021_13_13_167_5,Tactostoma macropus,T.macropus_2021_T13_5,Yes,Yes,,
2021,13,2021_13_13_167_6,Tactostoma macropus,T.macropus_2021_T13_6,Yes,Yes,,
2021,13,2021_13_13_167_7,Tactostoma macropus,T.macropus_2021_T13_7,Yes,Yes,,
2021,13,2021_13_13_167_8,Tactostoma macropus,T.macropus_2021_T13_8,Yes,Yes,,
2021,13,2021_13_13_167_9,Tactostoma macropus,T.macropus_2021_T13_9,Yes,Yes,,
2021,18,2021_13_18_167_1,Tactostoma macropus,T.macropus_2021_T18_1,Yes,Yes,,
2021,18,2021_13_18_167_2,Tactostoma macropus,T.macropus_2021_T18_2,Yes,Yes,,
2021,18,2021_13_18_167_3,Tactostoma macropus,T.macropus_2021_T18_3,Yes,Yes,,
2021,18,2021_13_18_167_4,Tactostoma macropus,T.macropus_2021_T18_4,Yes,Yes,,
2021,18,2021_13_18_167_5,Tactostoma macropus,T.macropus_2021_T18_5,Yes,Yes,,
2021,1,2021_13_1_185_5,Tarletonbeania crenularis,T.crenularis_2021_T1_1,Yes,Yes,,
